"id","UF","População 2016","Municípios","Receita Total","Receitas Correntes","Impostos Patrimônio e Renda","IPTU","IRRF","ITBI","ISS","Receita Agropecuária","Transferências Correntes","Transferências Intergovernamentais","Transferências da União","Participação na Receita da União","FPM","ITR","IOF- Ouro","SUS Fundo a Fundo - União","FNAS","FNDE","ICMS - Desoneração Lei Kandir","Transferências dos Estados","Participação na Receita dos Estados","ICMS","IPVA","IPI - Exportação","CIDE","Outras Participações na Receita dos Estados","Transferências dos Municípios","Transferências de Convênios"
2603306,"PE",11094,"Calçado",27616733.56,27585334.04,132663.77,6975.84,122765.48,2922.45,184818.86,0,25743686.73,25743686.73,15754734.8,11895435.24,11895097.87,337.37,0,2476311.11,416987.3,677185.07,6546.24,3379810.81,3379810.81,3018776.18,208512.14,5036.01,20830.48,126656,0,0
2603405,"PE",5741,"Calumbi",17671162.02,18948495.32,116341.08,1809,114427.08,105,139196.01,0,17901572.73,17901572.73,10788106.46,8921460.96,8921323.33,137.63,0,1239562.5,192666.79,360213.55,8700.44,3639181.38,3506546.67,3298948.39,176778.31,16765.43,14054.54,0,0,0
2603454,"PE",155228,"Camaragibe",215808485.77,228128483.2,14235484.27,5994378.32,6575054.9,1666051.05,7879080.1,0,191072891.57,190275729.02,139522531.75,90016611.27,89861799.5,16280.72,138531.05,45153995.16,1256968.28,2271496.71,37983.12,25532968.78,24654289.6,17540600.92,7034409.32,29632.81,49646.55,0,0,797162.55
2603504,"PE",18440,"Camocim de São Félix",41404789.06,43828342.08,673622.51,107683.45,512521.24,53417.82,631133.23,0,38647231.22,38647231.22,23708687.32,17846167.21,17842646.78,3520.43,0,4053838.04,374618.88,1204225.93,7625.92,3857357.09,3819520.13,3523616.88,289583.89,5878.7,0,440.66,0,0
2603603,"PE",8472,"Camutanga",30013133.15,31754457.84,560290.87,25168.7,531522.17,3600,366370.63,0,27597501.37,27287455.35,12364681.62,8922167.88,8921323.33,844.55,0,2388788.82,299318.6,533889.5,18386.83,9589951.68,9587819.14,9266459.97,297327.2,14841.69,0,9190.28,0,310046.02
2603702,"PE",24799,"Canhotinho",52248100.14,51324671.32,435338.88,11069.53,365049.5,59219.85,422077.61,0,47947146.75,47815895.51,28312736.68,20826473.87,20816421.21,10052.66,0,5269612.24,482802.42,1560552.91,9201.84,4878398.23,4812176.32,4242161.2,523335.31,7023.32,39656.49,0,0,131251.24
2603801,"PE",19994,"Capoeiras",44463670.88,44059222.42,340983.34,12431.98,325661.36,2890,349430.32,0,41625890,41446546.81,23891086.61,17843568.49,17842646.78,921.71,0,4121831.21,449504.62,1326822.68,8627.84,4975879.87,4620318.2,3988532.16,394683.87,6654.39,33211.39,197236.39,0,179343.19
2603900,"PE",19380,"Carnaíba",44186849.58,46687007.86,1234472.28,98277.68,1078989.76,57204.84,700684.07,0,41142673.14,40947326.61,24006785.64,17843385.9,17842646.78,739.12,0,4086398.54,251838.78,1557695.15,7507.08,4039451.13,3973497.49,3468609.51,499104.71,5783.27,0,0,0,195346.53
2603926,"PE",12706,"Carnaubeira da Penha",29092763.39,29542912.81,220896.33,34537.26,186359.07,0,1071047.6,0,25529270.11,25527777.61,14834258.24,11896614.5,11895235.76,1378.74,0,1131438.78,504721.72,1199333.64,5684.04,3515336.68,2690496.12,2623617.76,41367.36,3824.37,21686.63,0,0,1492.5
2604007,"PE",81884,"Carpina",124195179.54,126423062.47,6348560.67,934025.11,4779934.59,634600.97,3606876.39,0,106280422.29,106073720.25,55008443.22,38665753.44,38659067.96,6685.48,0,12160028.38,1225428.36,2604105.4,45375.32,25637731.08,25479709.92,20946738.95,4403815.13,34704.1,94451.74,0,0,206702.04
2604106,"PE",351686,"Caruaru",621292124.69,622044404.23,50716330.32,29821037.11,15275622.97,5619670.24,46175385.14,0,440483964.83,436073389.78,186000214.26,92855029.84,92835574.53,19455.31,0,73616350.44,6504556,12058121.36,213403.76,127667119.72,124121517.03,98762232.09,24887673.03,164666.93,306944.98,0,0,3833078.98
2604155,"PE",14247,"Casinhas",45527309.11,46550447.8,1104261.59,0.62,1104260.97,0,186393.08,0,33161567.77,33034252.9,20157587.48,14869248.47,14868872.27,376.2,0,3397134.63,427034.07,1339637.14,5826.2,2987763.05,2954682.75,2704362.71,219604.59,4511.3,26204.15,0,0,127314.87
2604205,"PE",41865,"Catende",63968827.86,69521476.71,672209.48,132900.58,441010.51,98298.39,528416.87,0,64832079.42,64668445.82,36179442.66,26784529.18,26763970.15,20559.03,0,6353282.8,740277.22,2074866.49,15154.28,8165077.77,7908068.38,7003775.63,832118.57,11684.46,56557.64,3932.08,24360,163633.6
2604304,"PE",11607,"Cedro",28399049.13,29810718.23,263043.79,18385.33,242629.88,2028.58,354493.4,0,27608413.65,27222729.54,15753338.52,11896572.76,11895113.6,1459.16,0,2592715.01,303098.96,839391.02,9861.8,4797287.24,4797287.24,4553236.14,217264.26,5750.78,21036.06,0,0,385684.11
2604403,"PE",13302,"Chã de Alegria",27874936.9,29961738.36,463381.66,22300.96,407269.63,33811.07,188199.82,0,28433128.79,27960822.73,15784927.24,11895943.35,11895097.87,845.48,0,3022568.4,274153.88,491042.65,7240.08,3591243.41,3591243.41,3320666.88,210803.44,34452.77,22049.36,3270.96,0,472306.06
2604502,"PE",21402,"Chã Grande",50536814.2,51422008.52,661331.29,50277.19,325862.41,285191.69,981535.54,0,44792271.21,44355984.73,25892186.57,17849901.07,17842646.78,7254.29,0,5991936.81,556674.23,1344338,8607.52,4788287.84,4710594.36,3981418.14,688578.23,6642.09,33955.9,0,0,436286.48
2604601,"PE",26008,"Condado",50388313.48,51674811.09,1467196.13,72506,1343861.45,50828.68,546280.1,0,45720713.14,45720713.14,28618508.77,20821438.54,20816421.21,5017.33,0,5915256.32,528153.63,1027193.24,6581.68,4024898.67,3905627.73,3040788.73,801811.02,22816.7,40211.28,0,0,0
2604700,"PE",18033,"Correntes",40946949.36,42750352.42,692641.76,15626.09,578638.64,98377.03,237573.53,0,39982170.99,39982170.99,23822543.61,17848814.97,17842646.78,6168.19,0,3733863.65,656212.44,1272976.67,8590.24,4416748.3,4416748.3,3973825.39,297454.12,6625.43,31983.1,106860.26,0,0
