id,UF,População 2016,nome,Total da Despesa por Função per capita,Legislativa per capita,Judiciária per capita,Essencial à Justiça per capita,Administração per capita,Defesa Nacional per capita,Segurança Pública per capita,Relações Exteriores per capita,Assistência Social per capita,Previdência Social per capita,Saúde per capita,Trabalho per capita,Educação per capita,Cultura per capita,Direitos da Cidadania per capita,Urbanismo per capita,Habitação per capita,Saneamento per capita,Gestão Ambiental per capita,Ciência e Tecnologia per capita,Agricultura per capita,Organização Agrária per capita,Indústria per capita,Comércio e Serviços per capita,Comunicações per capita,Energia per capita,Transporte per capita,Desporto e Lazer per capita,Encargos Especiais per capita,TOTAL DA DESPESA POR FUNÇÃO (INTRAORÇAMENTÁRIA) per capita,TOTAL GERAL DA DESPESA POR FUNÇÃO per capita,IDHM 2010,IDHM Educação 2010,IDHM Longevidade 2010,IDHM Renda 2010,Receita Total,Receitas Correntes,IPTU,ITBI,ISS,Transferências Correntes,Transferências da União,FPM,ITR,SUS Fundo a Fundo - União,FNAS,FNDE,Transferências dos Estados
2922508,BA,29450,Nazaré,1420.297237691,56.6097249575552,,,170.809348047538,,,,50.6571310696095,42.5492933786078,310.199679456706,,509.955684210526,53.7855361629881,,202.893314770798,,,,,6.63243870967742,,16.2050869269949,,,,,,,,1420.297237691,0.641,0.532,0.777,0.637,43457747.35,47689538.5,83576.22,89298.07,596134.76,44945103.14,28050626.28,20667847.17,4366.21,5243240.28,625932.11,1241097.87,4788128.09
2922607,BA,14279,Nilo Peçanha,2621.80471181455,80.5479515372225,,,232.084511520415,,,,146.311838364031,,477.729259051754,,1155.85318859864,39.3905735695777,,265.441822256461,,68.535676868128,,,15.1674290916731,,,,,,74.4044982141607,27.9588962812522,38.3790664612368,,2621.80471181455,0.547,0.404,0.762,0.531,35650262.01,37912840.16,18072.72,16545,181355.65,36709856.45,18932559.58,14762747.97,2576.17,2207868.87,250190.21,1542942.88,3520448.67
2922656,BA,13552,Nordestina,2530.93273465171,45.2771310507674,,,228.33023538961,,,,171.428255608028,,527.553550767414,,1114.69992104486,46.5289337367178,,246.740962957497,,0.244244391971665,1.22354265053129,,5.55682260920897,,,,,1.54722550177096,75.9225774793388,7.98704840613931,57.8922830578512,,2530.93273465171,0.56,0.467,0.743,0.507,,,,,,,,,,,,,
2922706,BA,17113,Nova Canaã,1729.32453573307,73.8517945421609,,,180.462321042482,,,,74.057277508327,,339.461816163151,,731.577563256004,7.90919184245895,,262.741366212821,,0.598667679541869,,,9.9379214632151,,,,,,31.5867574358675,,17.1398585870391,,1729.32453573307,0.545,0.37,0.789,0.554,31236719.59,34812152.05,10311.92,112838.13,438642.67,34052571.02,21588821.16,17715297.55,13869.38,2278829.67,776422.4,620443.16,3196446.16
2922730,BA,8101,Nova Fátima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.597,0.501,0.738,0.575,,,,,,,,,,,,,
2922755,BA,7010,Nova Ibiá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.419,0.714,0.62,,,,,,,,,,,,,
2922805,BA,8372,Nova Itarana,2149.80924749164,82.1172623029145,,,337.313895126613,,28.1991985188724,,49.8829085045389,,419.367011466794,,880.18359292881,28.4138867654085,,295.237984949833,,,,,0.489804108934544,,,,,,2.43469182990922,0.939070711896799,25.2299402771142,,2149.80924749164,0.524,0.389,0.729,0.508,17916208.68,19703625.58,95049.05,0,793751.89,18775709.06,11163621.52,8857648.76,4247.18,1552929.8,166836.73,480276.38,2034763.38
2922854,BA,9485,Nova Redenção,1714.83826146547,67.2014422772799,,,199.012570374275,,,,59.8189910384818,,329.830630469162,,800.469789140749,17.2015877701634,,199.32995782815,,,,,29.6875666842383,,,3.23690880337375,,,,0.00164470216130733,9.04717237743806,,1714.83826146547,0.567,0.471,0.723,0.534,16163619.94,17749383.89,0,0,200123.36,17382045.11,9330824.49,7630795.56,2546.44,793738.08,269926.11,535710.19,1879435.19
2922904,BA,25931,Nova Soure,1936.28773360071,62.0084940804443,,,354.704223516255,,,,67.4353437969997,,334.655278624041,,953.667626778759,23.2817862789711,,74.4496795341483,,,,,36.9493255177201,,,,,,,3.24098569280012,25.8949897805715,,1936.28773360071,0.555,0.439,0.712,0.548,49634977.1,53161138.47,71454.44,365105.07,601440.4,50211273.11,26097447.97,20667847.17,6793.42,2553143.53,772043.65,1882247.54,4604323.66
2923001,BA,43648,Nova Viçosa,1856.92170683651,63.1799124816716,0.488537390029326,,345.325230938416,,,,45.6879980755132,,251.125058651026,,869.524733092009,0.146126970307918,,108.467427602639,22.3391665139296,19.3894806176686,64.3323753665689,,3.86241133614369,,,32.198880590176,,,,0.351665597507331,30.5027016129032,,1856.92170683651,0.654,0.546,0.78,0.657,,,,,,,,,,,,,
